#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"Microsoft ASP.NET Web Frameworks and Tools - Visual Studio 2013 - ENU","5.2.30612.0"
"Visual Studio 2012 Verification SDK","12.0.40629"
"NI-RPC 17.0.0f0","17.00.49152"
"NI-P2P 17.0.0","17.00.49154"
"Windows SDK for Windows Store Apps Libs","10.1.17763.132"
"Microsoft Visual C++ 2013 Compilers","12.0.21005"
"Windows Phone SDK 8.0 Assemblies","12.0.31101"
"NI Vision Error Files 17.0","17.00.49153"
"NI LabVIEW 2015 Run-Time Engine Web Server","15.01.49152"
"Microsoft ASP.NET MVC 2","2.0.60926.0"
"Microsoft Visual Studio Professional 2013 with Update 5","12.0.40629"
"NI MXS 17.0.0","17.00.49152"
"NI Launcher","17.50.49153"
"Microsoft Visual C++  x64 Native Compilers","12.0.21005"
"NI MetaSuite Installer","17.50.49153"
"NI-MXDF 17.5.0f0","17.50.49152"
"Visual Studio 2012 ??? ?? SDK - kor","12.0.30501"
"NI Vision Runtime 2017","17.00.49153"
"NI USB LAN Device 15.0 System API","15.0.31"
"Microsoft Silverlight 5 SDK","5.0.61118.0"
"NI System Web Server 2017","17.0.59"
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215","14.0.24215.1"
"NI LabWindows/CVI 2017 Low-Level Driver (Original)","17.00.49154"
"Realtek PC Camera Driver","10.0.14393.11242"
"NI-PXIPF Error 17.0.0","17.00.49152"
"NI Assistant Framework LabVIEW 2016 Support","17.00.49153"
"NI PXI Platform Framework 17.5.1","17.51.49152"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005","12.0.21005"
"NI-APAL 17.0 Error Files","17.00.49152"
"NI mDNS Responder 17.0.0","17.00.49152"
"Microsoft Visual C++ 2013 Compilers - ENU Resources","12.0.21005"
"WinRT Intellisense Desktop - Other Languages","10.1.17763.132"
"WinRT Intellisense IoT - Other Languages","10.1.17763.132"
"Microsoft Visual Studio Professional 2013 - ENU","12.0.21005"
"NI-RIO I/O Control for LabVIEW 2015","15.50.49152"
"Windows SDK ARM Desktop Tools","10.1.17763.132"
"NI System API Windows 32-bit 17.5.0","17.50.49152"
"Blend for Visual Studio 2013","12.0.41002.1"
"Microsoft Advertising Service Extension for Visual Studio","12.0.40402.0"
"Windows Desktop Extension SDK","10.1.17763.132"
"Windows SDK","10.1.17763.132"
"NI Logos XT Support","5.90.49152"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
,
,
,
,
,
,
,
"NI PXI Platform Services Runtime 17.5.1","17.51.49152"
"Intel(R) Processor Graphics","23.20.16.4973"
"Windows Phone 8.1 Tools for Visual Studio 2013","12.0.40629"
"Realtek High Definition Audio Driver","6.0.1.8403"
"NI-VISA ENET Serial Passport 17.5.0","17.50.49152"
"Windows XP Targeting with C++","11.0.51106"
"Windows Team Extension SDK Contracts","10.1.17763.132"
"Microsoft LightSwitch for Visual Studio 2013 v4.5 ToolsRes - ENU","12.0.30626"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0"
"Microsoft Azure Mobile Services SDK","1.0.20908.0"
"WinRT Intellisense Mobile - en-us","10.1.17763.132"
"Windows SDK Desktop Tools x86","10.1.17763.132"
"Windows SDK DirectX x86 Remote","10.1.17763.132"
"NI LabVIEW Runtime 2017 f2","17.02.49152"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005"
"NI LabVIEW 2017 FPGA Error Codes","17.00.49152"
"NI LabVIEW Runtime 2015 SP1 f10","15.20.49153"
"Intel Extreme Tuning Utility","6.4.1.23"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.17763.132"
"NI System Monitor 17.5.1","17.51.49152"
"Microsoft Visual Studio 2013 Preparation","12.0.21005"
"NI Web-Based Configuration and Monitoring 16.0","16.0.148"
"NI Security Update (KB 67L8LCQW)","2.00.49152"
"NI-QPXI 17.3.0","17.30.49152"
"NI SSL Support","17.00.49152"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022","9.0.21022"
"Microsoft Visual C++ 2012 Core Libraries","11.0.51106"
